floor,plate,zone,total_area,studio_count,studio_area,1B_count,1B_area,2B_count,2B_area,2B+D_count,2B+D_area,3B_count,3B_area
1,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
2,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
3,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
4,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
5,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
6,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
7,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
8,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
9,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
10,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
11,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
12,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
13,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
14,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
15,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
16,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
17,M,1,1386.9,2,42.0,8,56.81,8,81.9,2,96.6,0,0.0
18,M,2,1386.9,2,42.0,8,56.02,0,0.0,5,96.6,3,123.9
19,M,2,1386.9,2,42.0,8,56.02,0,0.0,5,96.6,3,123.9
20,M,2,1386.9,2,42.0,8,56.02,0,0.0,5,96.6,3,123.9
21,M,2,1386.9,2,42.0,8,56.02,0,0.0,5,96.6,3,123.9
22,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
23,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
24,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
25,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
26,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
27,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
28,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
29,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
30,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
31,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
32,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
33,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
34,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
35,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
36,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
37,M,3,1386.05,1,38.0,3,52.25,8,74.1,3,87.4,3,112.1
38,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
39,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
40,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
41,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
42,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
43,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
44,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
45,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
46,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
47,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
48,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
49,T,4,700.15,0,0.0,1,52.25,0,0.0,1,87.4,5,112.1
50,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
51,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
52,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
53,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
54,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
55,C,5,582.9,0,0.0,0,0.0,0,0.0,1,87.4,4,123.88
