T,F,K,sigma,seed,time_limit,v1_status,v1_time_sec,v1_objective,v1_zones_used,v1_total_units,v2_status,v2_time_sec,v2_objective,v2_zones_used,v2_total_units,v2_cv_count,speedup
3,70,3,0.02,42,300.0,Optimal_TimeLimit,300.048,-50350.000000007465,3,795,Optimal,0.218,0.0,3,780,66,1375.69
3,70,3,0.02,43,300.0,Optimal_TimeLimit,300.049,-50350.000000007065,3,795,Optimal,0.283,0.0,3,774,66,1059.87
3,70,3,0.02,44,300.0,Optimal_TimeLimit,300.052,-50350.00000000132,3,795,Optimal,0.349,0.0,3,756,66,858.61
3,70,3,0.05,42,300.0,Optimal_TimeLimit,300.057,-52440.00000000061,3,828,Optimal,0.307,0.0,3,744,132,977.04
3,70,3,0.05,43,300.0,Optimal_TimeLimit,300.054,-52440.00000003554,3,828,Optimal,0.041,0.0,3,756,132,7381.63
3,70,3,0.05,44,300.0,Optimal_TimeLimit,300.054,-52440.00000000216,3,828,Optimal,0.393,0.0,3,765,132,763.06
3,70,3,0.1,42,300.0,Optimal_TimeLimit,300.064,-55100.000000004824,3,870,Optimal,0.08,0.0,1,840,222,3771.73
3,70,3,0.1,43,300.0,Optimal_TimeLimit,300.062,-55100.000000009386,3,870,Optimal,0.055,0.0,1,840,222,5497.84
3,70,3,0.1,44,300.0,Optimal_TimeLimit,300.067,-55100.00000001039,3,870,Optimal,0.066,0.0,2,735,222,4579.51
4,70,3,0.02,42,300.0,Optimal_TimeLimit,300.055,-50150.000000000466,3,680,Optimal,0.945,0.0,3,680,257,317.67
4,70,3,0.02,43,300.0,Optimal_TimeLimit,300.068,-50445.0,3,684,Optimal,0.1,0.0,3,680,257,2995.47
4,70,3,0.02,44,300.0,Optimal_TimeLimit,300.084,-50445.000000000226,3,684,Optimal,0.103,0.0,3,672,257,2922.56
4,70,3,0.05,42,300.0,Optimal_TimeLimit,300.074,-51625.000000000044,3,700,Optimal,2.788,0.0,3,672,453,107.61
4,70,3,0.05,43,300.0,Optimal_TimeLimit,300.073,-51919.99999999998,3,704,Optimal,1.333,0.0,2,672,453,225.1
4,70,3,0.05,44,300.0,Optimal_TimeLimit,300.076,-51920.000000000095,3,704,Optimal,0.208,0.0,2,672,453,1444.73
4,70,3,0.1,42,300.0,Optimal_TimeLimit,300.09,-54575.00000000004,3,740,Optimal,2.495,0.0,2,700,779,120.3
4,70,3,0.1,43,300.0,Optimal_TimeLimit,300.071,-54575.00000000017,3,740,Optimal,0.316,0.0,2,700,779,948.82
4,70,3,0.1,44,300.0,Optimal_TimeLimit,300.102,-54574.999999999985,3,740,Optimal,2.982,0.0,3,644,779,100.64
5,70,3,0.02,42,300.0,Optimal_TimeLimit,300.071,-49140.0,3,525,Optimal,104.216,0.0,2,525,467,2.88
5,70,3,0.02,43,300.0,Optimal_TimeLimit,300.091,-49608.000000000015,3,530,Optimal,0.167,3.907985046680551e-11,2,525,467,1792.05
5,70,3,0.02,44,300.0,Optimal_TimeLimit,300.086,-49140.00000000003,3,525,Optimal,0.74,0.0,2,525,467,405.44
5,70,3,0.05,42,300.0,Optimal_TimeLimit,300.086,-52416.00000000003,3,560,Optimal,0.334,3.730349362740526e-11,2,525,835,897.73
5,70,3,0.05,43,300.0,Optimal_TimeLimit,300.075,-52416.00000000004,3,560,Optimal,58.405,0.0,2,525,835,5.14
5,70,3,0.05,44,300.0,Optimal_TimeLimit,300.082,-52416.00000000011,3,560,Optimal,81.894,4.618527782440651e-11,3,500,835,3.66
5,70,3,0.1,42,300.0,Optimal_TimeLimit,300.06,-53820.000000000015,3,575,Optimal,33.991,0.0,3,560,1491,8.83
5,70,3,0.1,43,300.0,Optimal_TimeLimit,300.071,-54288.000000000015,3,580,Optimal,14.966,0.0,2,525,1491,20.05
5,70,3,0.1,44,300.0,Optimal_TimeLimit,300.088,-53820.00000000003,3,575,Optimal,129.833,0.0,2,525,1491,2.31
